Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Exon/CD	chr4	000610930	000612317	FBtr0089086	Eph-RE	+	+0939	NA	NA	NA
Exon/CD	chr4	000624070	000626020	FBtr0089103	mav-RA	-	+0986	NA	NA	NA
Downstream	chr4	000626074	000626648	FBtr0304450	mir-954-RM	+	+0235	NA	NA	NA
5'UTR	chr4	000657918	000663099	FBtr0310543	gw-RJ	-	+0100	NA	NA	NA
Upstream	chr4	000663199	000663620	FBtr0310537	Slip1-RC	+	-0212	NA	NA	NA
Intron	chr4	000663679	000665200	FBtr0089090	Slip1-RA	+	+0818	NA	NA	NA
Intron	chr4	000671148	000671760	FBtr0310539	CG11360-RC	+	+0312	NA	NA	NA
5'UTR	chr4	000680081	000681278	FBtr0089091	CG11360-RA	+	+0086	NA	NA	NA
Intron	chr4	000693783	000696608	FBtr0089095	myo-RD	-	+0860	NA	NA	NA
Intron	chr4	000703607	000705282	FBtr0089235	ey-RB	+	+6755	NA	NA	NA
Exon/CD	chr4	000786135	000787469	FBtr0089254	MED26-RA	-	+0812	NA	NA	NA
Intron	chr4	000806844	000808795	FBtr0100600	Sox102F-RB	-	+26574	NA	NA	NA
5'UTR	chr4	000833378	000834321	FBtr0100600	Sox102F-RB	-	+0544	NA	NA	NA
Downstream	chr4	000844304	000845216	FBtr0334484	CR33797-RB	+	+1486	NA	NA	NA
Exon/CD	chr4	000865567	000866789	FBtr0300886	CG11148-RH	-	+0847	NA	NA	NA
Intron	chr4	000878732	000880578	FBtr0308805	unc-13-RD	-	+24371	NA	NA	NA
5'UTR	chr4	000903149	000905823	FBtr0334487	unc-13-RF	-	+0335	NA	NA	NA
Intron	chr4	000929488	000930581	FBtr0289951	eIF4G-RC	-	+0681	NA	NA	NA
Exon/CD	chr4	000956505	000958153	FBtr0334626	4E-T-RH	-	+0841	NA	NA	NA
Intron	chr4	000959890	000960708	FBtr0344192	CR44030-RC	+	+0624	NA	NA	NA
Upstream	chr4	000989022	000989489	FBtr0339509	toy-RC	+	-0470	NA	NA	NA
5'UTR	chr4	000989672	000990045	FBtr0089185	toy-RA	+	+0133	NA	NA	NA
Intron	chr4	001024691	001025444	FBtr0309865	PlexA-RF	-	+2034	NA	NA	NA
Intron	chr4	001025616	001026833	FBtr0309865	PlexA-RF	-	+0877	NA	NA	NA
Downstream	chr4	001027534	001031790	FBtr0089221	CG11076-RA	-	+1313	NA	NA	NA
Exon/CD	chr4	001031906	001034365	FBtr0089186	ATPsynbeta-RA	+	+1271	NA	NA	NA
Intron	chr4	001050043	001052515	FBtr0300378	CaMKII-RI	-	+0099	NA	NA	NA
Intron	chr4	001052760	001053342	FBtr0089217	CaMKII-RC	-	+0652	NA	NA	NA
Intron	chr4	001059640	001060770	FBtr0089214	Zyx-RG	-	+0713	NA	NA	NA
Upstream	chr4	001088146	001088516	FBtr0100342	sv-RD	+	-0467	NA	NA	NA
Intron	chr4	001097374	001098777	FBtr0089328	sv-RC	+	+9277	NA	NA	NA
Intron	chr4	001121919	001123235	FBtr0345193	Cals-RD	-	+0388	NA	NA	NA
Intron	chr4	001124290	001125168	FBtr0089192	Arf102F-RA	+	+0562	NA	NA	NA
Exon/CD	chr4	001126889	001127308	FBtr0333701	CG11155-RD	+	+0496	NA	NA	NA
Intron	chr4	001161109	001161691	FBtr0089196	Kif3C-RA	+	+13934	NA	NA	NA
Intron	chr4	001180174	001181490	FBtr0089204	pho-RA	-	+0796	NA	NA	NA
Exon/CD	chr4	001195520	001196582	FBtr0100544	PIP4K-RB	-	+0797	NA	NA	NA
Intron	chr4	001198984	001199674	FBtr0307327	Mitf-RB	+	+0471	NA	NA	NA
Exon/CD	chr4	001228851	001230511	FBtr0100406	Dyrk3-RE	-	+1032	NA	NA	NA
Intron	chr4	001232018	001233445	FBtr0091631	Caps-RB	+	+0848	NA	NA	NA
Upstream	chr3l	000128709	000129233	FBtr0333218	Pdk1-RJ	+	-0479	NA	NA	NA
Intron	chr3l	000129362	000131496	FBtr0072464	Pdk1-RD	+	+0979	NA	NA	NA
Intron	chr3l	000131752	000135012	FBtr0072468	Pdk1-RC	+	+0649	NA	NA	NA
Intron	chr3l	000136982	000137507	FBtr0072468	Pdk1-RC	+	+4511	NA	NA	NA
Intron	chr3l	000139678	000140344	FBtr0072468	Pdk1-RC	+	+7278	NA	NA	NA
Intron	chr3l	000140418	000140977	FBtr0072468	Pdk1-RC	+	+7964	NA	NA	NA
Intron	chr3l	000141123	000142414	FBtr0072470	Pdk1-RB	+	+0212	NA	NA	NA
Exon/CD	chr3l	000146404	000147499	FBtr0273352	CG6845-RD	+	+0518	NA	NA	NA
Intron	chr3l	000160883	000162377	FBtr0301889	p130CAS-RG	+	+0826	NA	NA	NA
Intron	chr3l	000162462	000163203	FBtr0301889	p130CAS-RG	+	+2028	NA	NA	NA
Intron	chr3l	000164606	000164922	FBtr0301889	p130CAS-RG	+	+3960	NA	NA	NA
Exon/CD	chr3l	000175080	000176267	FBtr0072537	CG7049-RA	-	+0555	NA	NA	NA
Exon/CD	chr3l	000177096	000178571	FBtr0301890	Vdup1-RD	-	+0802	NA	NA	NA
Upstream	chr3l	000178843	000179698	FBtr0334069	Vdup1-RE	-	-0307	NA	NA	NA
Intron	chr3l	000180340	000180994	FBtr0072476	CG13875-RA	+	+0375	NA	NA	NA
Upstream	chr3l	000183115	000185983	FBtr0344024	Mkp-RC	-	-0009	NA	NA	NA
5'UTR	chr3l	000197857	000199713	FBtr0072532	rno-RB	-	+0977	NA	NA	NA
Intron	chr3l	000200211	000202013	FBtr0072481	mri-RA	+	+0938	NA	NA	NA
Intron	chr3l	000202385	000207371	FBtr0072530	Gyk-RB	-	+0931	NA	NA	NA
Exon/CD	chr3l	000209875	000214466	FBtr0072527	thoc7-RB	-	+0517	NA	NA	NA
Exon/CD	chr3l	000217294	000218445	FBtr0072488	Kaz1-ORFB-RA	+	+0499	NA	NA	NA
Upstream	chr3l	000222429	000222732	FBtr0345592	CG33229-RB	+	-1272	NA	NA	NA
Upstream	chr3l	000222876	000223466	FBtr0345592	CG33229-RB	+	-0681	NA	NA	NA
Intron	chr3l	000223693	000227369	FBtr0304059	CR42862-RA	+	+1425	NA	NA	NA
Exon/CD	chr3l	000227633	000227944	FBtr0304059	CR42862-RA	+	+3682	NA	NA	NA
Exon/CD	chr3l	000228003	000228377	FBtr0304059	CR42862-RA	+	+4084	NA	NA	NA
Exon/CD	chr3l	000230090	000230377	FBtr0304059	CR42862-RA	+	+6127	NA	NA	NA
Exon/CD	chr3l	000230448	000230866	FBtr0304059	CR42862-RA	+	+6551	NA	NA	NA
Exon/CD	chr3l	000231049	000231514	FBtr0303931	CG42846-RA	-	+0323	NA	NA	NA
Exon/CD	chr3l	000231673	000232456	FBtr0112760	CG34454-RA	-	+0286	NA	NA	NA
Exon/CD	chr3l	000232818	000233072	FBtr0299518	CG34453-RB	-	+0406	NA	NA	NA
Exon/CD	chr3l	000245115	000246791	FBtr0332101	E(bx)-RG	-	+0959	NA	NA	NA
Exon/CD	chr3l	000247924	000249212	FBtr0072501	mthl14-RA	+	+1077	NA	NA	NA
Downstream	chr3l	000256360	000265927	FBtr0113599	snoRNA	-	+0810	NA	NA	NA
Exon/CD	chr3l	000267809	000268958	FBtr0072504	miple1-RA	+	+0619	NA	NA	NA
Downstream	chr3l	000270201	000270678	FBtr0072504	miple1-RA	+	+2675	NA	NA	NA
5'UTR	chr3l	000270988	000271472	FBtr0332839	miple2-RG	+	+0030	NA	NA	NA
Intron	chr3l	000271682	000273240	FBtr0332837	miple2-RE	+	+0823	NA	NA	NA
Intron	chr3l	000282717	000283006	FBtr0333962	RhoGEF3-RM	+	+5424	NA	NA	NA
Exon/CD	chr3l	000292367	000293848	FBtr0333958	RhoGEF3-RH	+	+0415	NA	NA	NA
Exon/CD	chr3l	000310213	000312252	FBtr0072516	fwd-RA	-	+8652	NA	NA	NA
Intron	chr3l	000314758	000315169	FBtr0072516	fwd-RA	-	+4921	NA	NA	NA
Intron	chr3l	000315244	000316629	FBtr0072516	fwd-RA	-	+3948	NA	NA	NA
Exon/CD	chr3l	000317221	000317717	FBtr0299835	CG34264-RB	+	+0382	NA	NA	NA
Downstream	chr3l	000320123	000320458	FBtr0072576	CG32344-RA	-	+4430	NA	NA	NA
Exon/CD	chr3l	000323228	000324760	FBtr0072576	CG32344-RA	-	+0726	NA	NA	NA
Exon/CD	chr3l	000326530	000328022	FBtr0332840	Atac3-RE	-	+0493	NA	NA	NA
Intron	chr3l	000329419	000330058	FBtr0306563	Ptpmeg-RK	+	+1641	NA	NA	NA
Intron	chr3l	000330209	000330457	FBtr0306563	Ptpmeg-RK	+	+2236	NA	NA	NA
Intron	chr3l	000330668	000332374	FBtr0306563	Ptpmeg-RK	+	+3424	NA	NA	NA
5'UTR	chr3l	000338501	000339409	FBtr0333903	mthl10-RF	-	+0061	NA	NA	NA
Intron	chr3l	000340273	000342940	FBtr0333904	mthl10-RG	-	+1309	NA	NA	NA
5'UTR	chr3l	000345522	000349848	FBtr0306562	Ptpmeg-RJ	+	+0226	NA	NA	NA
Intron	chr3l	000349979	000350728	FBtr0306562	Ptpmeg-RJ	+	+2894	NA	NA	NA
Intron	chr3l	000350943	000351712	FBtr0306559	Ptpmeg-RG	+	+0252	NA	NA	NA
5'UTR	chr3l	000359969	000362651	FBtr0072569	Cdc5-RA	-	+0073	NA	NA	NA
Intron	chr3l	000376870	000378080	FBtr0333901	trh-RF	-	+15158	NA	NA	NA
Intron	chr3l	000378222	000379219	FBtr0333901	trh-RF	-	+13913	NA	NA	NA
Exon/CD	chr3l	000391389	000391625	FBtr0333901	trh-RF	-	+1126	NA	NA	NA
5'UTR	chr3l	000392183	000392571	FBtr0333901	trh-RF	-	+0256	NA	NA	NA
Exon/CD	chr3l	000432838	000433755	FBtr0072566	CG13891-RA	-	+0610	NA	NA	NA
5'UTR	chr3l	000439649	000441605	FBtr0112807	klar-RC	-	+0469	NA	NA	NA
Intron	chr3l	000446710	000448073	FBtr0333852	klar-RG	-	+0741	NA	NA	NA
Intron	chr3l	000488473	000490806	FBtr0333851	klar-RF	-	+1184	NA	NA	NA
Upstream	chr3l	000538756	000540709	FBtr0072550	CG17180-RA	+	-1119	NA	NA	NA
Intron	chr3l	000540811	000548351	FBtr0072551	hipk-RB	+	+1521	NA	NA	NA
Intron	chr3l	000548557	000550486	FBtr0072552	hipk-RA	+	+3462	NA	NA	NA
Intron	chr3l	000550537	000551047	FBtr0072552	hipk-RA	+	+4733	NA	NA	NA
Upstream	chr3l	000551530	000552276	FBtr0347579	CR46249-RA	-	-0893	NA	NA	NA
Upstream	chr3l	000552596	000553655	FBtr0346829	CR45808-RA	+	-0091	NA	NA	NA
Downstream	chr3l	000553819	000554229	FBtr0346829	CR45808-RA	+	+0808	NA	NA	NA
Exon/CD	chr3l	000593264	000594490	FBtr0344912	MED14-RC	+	+0631	NA	NA	NA
Intron	chr3l	000601282	000602155	FBtr0072562	CG13893-RA	-	+2290	NA	NA	NA
Intron	chr3l	000602297	000604172	FBtr0072562	CG13893-RA	-	+0774	NA	NA	NA
Exon/CD	chr3l	000605418	000605642	FBtr0072561	Reg-2-RA	-	+1039	NA	NA	NA
Exon/CD	chr3l	000606028	000606483	FBtr0072561	Reg-2-RA	-	+0314	NA	NA	NA
Exon/CD	chr3l	000616223	000616532	FBtr0344638	CR42719-RB	-	+0269	NA	NA	NA
Upstream	chr3l	000626472	000626796	FBtr0306918	CR43334-RA	+	-1801	NA	NA	NA
Exon/CD	chr3l	000628322	000631048	FBtr0333725	CR43334-RC	+	+1215	NA	NA	NA
Exon/CD	chr3l	000638597	000642147	FBtr0333724	CR43334-RB	+	+0658	NA	NA	NA
Upstream	chr3l	000647693	000647978	FBtr0072556	Gale-RA	+	-0720	NA	NA	NA
Intron	chr3l	000648444	000651316	FBtr0306917	Gale-RB	+	+1106	NA	NA	NA
Exon/CD	chr3l	000651517	000655483	FBtr0072558	MED30-RA	-	+0589	NA	NA	NA
5'UTR	chr3l	000679439	000680511	FBtr0072614	CG17129-RB	-	+0351	NA	NA	NA
5'UTR	chr3l	000680850	000683223	FBtr0333379	CG3386-RD	-	+0025	NA	NA	NA
Exon/CD	chr3l	000684408	000685669	FBtr0072610	ebd1-RA	-	+0511	NA	NA	NA
Exon/CD	chr3l	000690447	000691501	FBtr0330078	RabX6-RB	+	+0457	NA	NA	NA
Exon/CD	chr3l	000691709	000692917	FBtr0072607	Vti1-RA	-	+0606	NA	NA	NA
Exon/CD	chr3l	000693184	000693543	FBtr0072606	CG13894-RA	-	+5781	NA	NA	NA
Intron	chr3l	000697881	000698677	FBtr0072606	CG13894-RA	-	+0865	NA	NA	NA
5'UTR	chr3l	000698768	000699006	FBtr0072606	CG13894-RA	-	+0257	NA	NA	NA
Intron	chr3l	000707143	000708294	FBtr0331771	CG13895-RB	-	+0487	NA	NA	NA
Exon/CD	chr3l	000709105	000710599	FBtr0072604	CkIIalpha-i3-RB	-	+0509	NA	NA	NA
Exon/CD	chr3l	000710964	000711981	FBtr0072602	CG13896-RA	-	+0347	NA	NA	NA
Exon/CD	chr3l	000737924	000738765	FBtr0072601	hng3-RA	-	+1005	NA	NA	NA
Intron	chr3l	000738832	000739056	FBtr0072601	hng3-RA	-	+0405	NA	NA	NA
Upstream	chr3l	000748271	000748531	FBtr0072578	emc-RA	+	-0999	NA	NA	NA
Upstream	chr3l	000748835	000749229	FBtr0072578	emc-RA	+	-0368	NA	NA	NA
Intron	chr3l	000749467	000752733	FBtr0072578	emc-RA	+	+1700	NA	NA	NA
Downstream	chr3l	000829497	000829912	FBtr0114342	snoRNA	-	+0288	NA	NA	NA
Downstream	chr3l	000829971	000833480	FBtr0113600	snoRNA	-	+0283	NA	NA	NA
5'UTR	chr3l	000834068	000841881	FBtr0072584	CG13887-RB	+	+0113	NA	NA	NA
Exon/CD	chr3l	000851167	000852397	FBtr0072587	CG13890-RA	+	+0436	NA	NA	NA
Intron	chr3l	000871902	000873888	FBtr0072589	Usp10-RA	+	+0996	NA	NA	NA
Intron	chr3l	000876399	000876610	FBtr0333267	Usp10-RC	+	+3593	NA	NA	NA
Intron	chr3l	000879300	000879531	FBtr0333267	Usp10-RC	+	+6504	NA	NA	NA
Intron	chr3l	000879969	000882017	FBtr0333267	Usp10-RC	+	+8082	NA	NA	NA
Upstream	chr3l	000894844	000895650	FBtr0100833	CG34056-RA	+	-0704	NA	NA	NA
Exon/CD	chr3l	000895830	000896623	FBtr0100833	CG34056-RA	+	+0275	NA	NA	NA
Exon/CD	chr3l	000909345	000910661	FBtr0072592	nerfin-1-RA	+	+0891	NA	NA	NA
Intron	chr3l	000959640	000960921	FBtr0345690	Glut1-RZ	+	+0620	NA	NA	NA
Intron	chr3l	000999768	001000680	FBtr0072648	trio-RE	-	+0343	NA	NA	NA
Intron	chr3l	001001152	001001391	FBtr0072647	trio-RB	-	+6504	NA	NA	NA
Exon/CD	chr3l	001003218	001003639	FBtr0072647	trio-RB	-	+4347	NA	NA	NA
Intron	chr3l	001005503	001005934	FBtr0072647	trio-RB	-	+2057	NA	NA	NA
Exon/CD	chr3l	001006789	001007708	FBtr0072647	trio-RB	-	+0527	NA	NA	NA
Intron	chr3l	001021343	001021712	FBtr0072646	trio-RD	-	+1362	NA	NA	NA
Intron	chr3l	001022067	001022966	FBtr0072646	trio-RD	-	+0373	NA	NA	NA
Intron	chr3l	001030134	001030464	FBtr0072644	trio-RA	-	+4576	NA	NA	NA
Intron	chr3l	001031289	001031904	FBtr0072644	trio-RA	-	+3279	NA	NA	NA
Intron	chr3l	001032184	001033151	FBtr0072644	trio-RA	-	+2208	NA	NA	NA
Intron	chr3l	001033767	001034961	FBtr0072644	trio-RA	-	+0511	NA	NA	NA
Exon/CD	chr3l	001035125	001036267	FBtr0072622	CG9205-RB	+	+0511	NA	NA	NA
Upstream	chr3l	001102642	001102958	FBtr0072642	bab1-RB	-	-1711	NA	NA	NA
Intron	chr3l	001174912	001177274	FBtr0333271	bab2-RB	-	+1183	NA	NA	NA
Upstream	chr3l	001177603	001179258	FBtr0072639	bab2-RA	-	-1154	NA	NA	NA
Exon/CD	chr3l	001189786	001190298	FBtr0072625	CG13912-RA	+	+0454	NA	NA	NA
Exon/CD	chr3l	001203784	001204386	FBtr0072635	CG9119-RA	-	+0710	NA	NA	NA
5'UTR	chr3l	001204476	001205021	FBtr0072635	CG9119-RA	-	+0047	NA	NA	NA
5'UTR	chr3l	001208445	001209298	FBtr0331392	mwh-RA	+	+0451	NA	NA	NA
Intron	chr3l	001244788	001245335	FBtr0072733	Klp61F-RA	-	+0849	NA	NA	NA
Intron	chr3l	001247122	001249294	FBtr0072652	Sac1-RA	+	+0188	NA	NA	NA
5'UTR	chr3l	001256776	001257397	FBtr0072659	CG9134-RB	+	+0637	NA	NA	NA
Intron	chr3l	001265793	001266687	FBtr0072661	CG9134-RC	+	+0524	NA	NA	NA
5'UTR	chr3l	001276062	001276404	FBtr0331863	CG32333-RC	+	+0277	NA	NA	NA
Exon/CD	chr3l	001295892	001297323	FBtr0072663	Rabex-5-RA	+	+0694	NA	NA	NA
Exon/CD	chr3l	001298065	001298273	FBtr0072663	Rabex-5-RA	+	+2256	NA	NA	NA
Exon/CD	chr3l	001298596	001300071	FBtr0089941	scf-RB	+	+0447	NA	NA	NA
3'UTR	chr3l	001300522	001302686	FBtr0331868	Rac1-RB	-	+1079	NA	NA	NA
Exon/CD	chr3l	001302768	001304141	FBtr0072667	CG9149-RA	+	+0510	NA	NA	NA
Exon/CD	chr3l	001305696	001308828	FBtr0072729	CG2277-RA	-	+0156	NA	NA	NA
Upstream	chr3l	001312119	001314802	FBtr0072727	CG9186-RB	-	-0083	NA	NA	NA
Intron	chr3l	001318445	001320419	FBtr0072672	Myo61F-RC	+	+0952	NA	NA	NA
Intron	chr3l	001320497	001321322	FBtr0072672	Myo61F-RC	+	+2429	NA	NA	NA
Intron	chr3l	001321703	001322130	FBtr0072673	Myo61F-RB	+	+0887	NA	NA	NA
Exon/CD	chr3l	001324013	001324378	FBtr0345041	CR45166-RA	-	+0026	NA	NA	NA
5'UTR	chr3l	001324683	001325642	FBtr0072675	Myo61F-RA	+	+0045	NA	NA	NA
Intron	chr3l	001325837	001326096	FBtr0072675	Myo61F-RA	+	+0849	NA	NA	NA
Exon/CD	chr3l	001326321	001326656	FBtr0072675	Myo61F-RA	+	+1371	NA	NA	NA
Intron	chr3l	001328977	001329436	FBtr0072675	Myo61F-RA	+	+4089	NA	NA	NA
Exon/CD	chr3l	001329955	001337155	FBtr0331866	CG2211-RB	-	+1021	NA	NA	NA
Exon/CD	chr3l	001337301	001337605	FBtr0072679	l(3)02640-RA	+	+2564	NA	NA	NA
Exon/CD	chr3l	001340874	001342398	FBtr0331865	CG2199-RC	-	+0529	NA	NA	NA
Intron	chr3l	001348413	001350607	FBtr0072717	Ptp61F-RB	-	+1089	NA	NA	NA
Exon/CD	chr3l	001351063	001352185	FBtr0072680	312-RA	+	+0508	NA	NA	NA
Intron	chr3l	001463917	001465645	FBtr0333207	rho-RB	+	+0970	NA	NA	NA
Intron	chr3l	001495259	001496606	FBtr0332656	CG12084-RB	-	+0711	NA	NA	NA
Upstream	chr3l	001500370	001500843	FBtr0309770	scaRNA	-	-1610	NA	NA	NA
Upstream	chr3l	001501113	001502569	FBtr0072697	Psa-RD	+	-1002	NA	NA	NA
Intron	chr3l	001503362	001503649	FBtr0072697	Psa-RD	+	+0662	NA	NA	NA
Intron	chr3l	001513686	001519474	FBtr0072697	Psa-RD	+	+13737	NA	NA	NA
Intron	chr3l	001519582	001520287	FBtr0333395	Psa-RI	+	+2083	NA	NA	NA
Exon/CD	chr3l	001533024	001538312	FBtr0333400	CG12091-RB	-	+1167	NA	NA	NA
Exon/CD	chr3l	001538539	001538977	FBtr0072736	CG7852-RB	+	+1332	NA	NA	NA
Intron	chr3l	001546066	001550842	FBtr0072740	Cct1-RB	+	+0189	NA	NA	NA
5'UTR	chr3l	001556509	001559761	FBtr0072828	CG12099-RB	-	+0349	NA	NA	NA
Intron	chr3l	001566924	001568552	FBtr0072826	CG7879-RA	-	+0870	NA	NA	NA
Intron	chr3l	001569188	001571653	FBtr0113122	CG12004-RC	+	+1239	NA	NA	NA
Exon/CD	chr3l	001571786	001572233	FBtr0072746	CG12004-RB	+	+0108	NA	NA	NA
Intron	chr3l	001576611	001578369	FBtr0072747	CG13917-RA	+	+0791	NA	NA	NA
Intron	chr3l	001578697	001579003	FBtr0072747	CG13917-RA	+	+2151	NA	NA	NA
Intron	chr3l	001586757	001588268	FBtr0347066	CG13917-RD	+	+0818	NA	NA	NA
Intron	chr3l	001588521	001588795	FBtr0347066	CG13917-RD	+	+1964	NA	NA	NA
Intron	chr3l	001591178	001591407	FBtr0347066	CG13917-RD	+	+4598	NA	NA	NA
Intron	chr3l	001601180	001602700	FBtr0333360	CG12104-RB	-	+0734	NA	NA	NA
Intron	chr3l	001613458	001614040	FBtr0091792	CG33791-RA	+	+9035	NA	NA	NA
5'UTR	chr3l	001617328	001619501	FBtr0072757	CG33230-RA	+	+0000	NA	NA	NA
Intron	chr3l	001626446	001626707	FBtr0072821	GC-RA	-	+2725	NA	NA	NA
Intron	chr3l	001627219	001627503	FBtr0072821	GC-RA	-	+1940	NA	NA	NA
Intron	chr3l	001627700	001627958	FBtr0072821	GC-RA	-	+1472	NA	NA	NA
Intron	chr3l	001636618	001636952	FBtr0331462	nSyb-RK	-	+0827	NA	NA	NA
Exon/CD	chr3l	001638088	001639487	FBtr0072814	metl-RB	-	+0448	NA	NA	NA
Exon/CD	chr3l	001639539	001641500	FBtr0330180	Bgb-RB	+	+0808	NA	NA	NA
Exon/CD	chr3l	001641696	001642165	FBtr0072812	alphaCOP-RA	-	+3269	NA	NA	NA
5'UTR	chr3l	001642352	001647708	FBtr0072812	alphaCOP-RA	-	+0169	NA	NA	NA
Intron	chr3l	001649300	001649843	FBtr0072761	CG13920-RA	+	+0491	NA	NA	NA
Intron	chr3l	001651554	001654631	FBtr0072762	CG7970-RA	+	+0087	NA	NA	NA
Intron	chr3l	001662856	001663119	FBtr0309252	CG7971-RG	-	+2077	NA	NA	NA
Upstream	chr3l	001663401	001666308	FBtr0072763	CG7974-RA	+	-0284	NA	NA	NA
Exon/CD	chr3l	001666500	001668661	FBtr0072805	RpL23A-RA	-	+1074	NA	NA	NA
Upstream	chr3l	001674283	001674532	FBtr0303102	CG7991-RB	+	-0302	NA	NA	NA
Intron	chr3l	001727325	001728019	FBtr0334080	drpr-RF	-	+3435	NA	NA	NA
Intron	chr3l	001728262	001731927	FBtr0334080	drpr-RF	-	+1013	NA	NA	NA
Intron	chr3l	001734921	001735806	FBtr0072797	Oseg4-RA	-	+0404	NA	NA	NA
Exon/CD	chr3l	001737198	001737744	FBtr0072796	CG18173-RA	-	+0351	NA	NA	NA
5'UTR	chr3l	001738522	001740034	FBtr0072770	Gk-RB	+	+0033	NA	NA	NA
